,title_maart,title_april,published_at_maart,views_maart,rank_in_region_maart,views_april,rank_in_region_april,country_april,days_since_upload_april,duration_in_minutes_april,category_name_april,rank_change
81,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,11,99252449.0,50,Zimbabwe,33,1.2,Entertainment,39
82,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,11,99252449.0,38,Malta,33,1.2,Entertainment,27
83,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,3,99252449.0,38,Oeganda,33,1.2,Entertainment,35
84,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,3,99252449.0,50,Zimbabwe,33,1.2,Entertainment,47
85,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,3,99252449.0,38,Malta,33,1.2,Entertainment,35
86,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,21017150,5,51493926.0,42,Oeganda,33,0.2,Comedy,37
87,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2009094,21,11697203.0,47,Libanon,31,2.9,Music,26
88,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,21017150,1,51493926.0,42,Oeganda,33,0.2,Comedy,41
89,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,6,99252449.0,38,Oeganda,33,1.2,Entertainment,32
90,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,6,99252449.0,50,Zimbabwe,33,1.2,Entertainment,44
91,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,6,99252449.0,38,Malta,33,1.2,Entertainment,32
92,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,15,99252449.0,38,Oeganda,33,1.2,Entertainment,23
93,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,15,99252449.0,50,Zimbabwe,33,1.2,Entertainment,35
94,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,15,99252449.0,38,Malta,33,1.2,Entertainment,23
95,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2009094,23,11697203.0,47,Libanon,31,2.9,Music,24
96,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2009094,24,11697203.0,47,Libanon,31,2.9,Music,23
97,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,2025-03-01 10:02:01,5753091,31,38480951.0,22,Algerije,30,3.2,Entertainment,-9
98,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,إعلان إي آند(&e)رمضان 2025 - أكتر و أكتر - غناء شيرين عبد الوهاب,2025-03-01 10:02:01,5753091,31,38481408.0,14,Jemen,30,3.2,Entertainment,-17
99,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,2,99252449.0,38,Oeganda,33,1.2,Entertainment,36
100,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,2,99252449.0,50,Zimbabwe,33,1.2,Entertainment,48
101,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36354048,2,99252449.0,38,Malta,33,1.2,Entertainment,36
102,"Haha, are children's brains so good now?# Mother and Child Daily# Family Fun# Life Tips# Parent-Chi","Haha, are children's brains so good now?# Mother and Child Daily# Family Fun# Life Tips# Parent-Chi",2025-02-28 07:07:40,6361812,3,75379066.0,37,Oeganda,31,0.6,People & Blogs,34
103,"Haha, are children's brains so good now?# Mother and Child Daily# Family Fun# Life Tips# Parent-Chi","Haha, are children's brains so good now?# Mother and Child Daily# Family Fun# Life Tips# Parent-Chi",2025-02-28 07:07:40,6396833,5,75379066.0,37,Oeganda,31,0.6,People & Blogs,32
104,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36441314,18,99252449.0,38,Oeganda,33,1.2,Entertainment,20
105,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36441314,18,99252449.0,50,Zimbabwe,33,1.2,Entertainment,32
106,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36441314,18,99252449.0,38,Malta,33,1.2,Entertainment,20
107,"Highest Away From Me Wins $10,000","Highest Away From Me Wins $10,000",2025-02-28 17:00:00,76830842,46,161117200.0,49,Luxemburg,31,0.8,Entertainment,3
108,"Haha, are children's brains so good now?# Mother and Child Daily# Family Fun# Life Tips# Parent-Chi","Haha, are children's brains so good now?# Mother and Child Daily# Family Fun# Life Tips# Parent-Chi",2025-02-28 07:07:40,6396833,2,75379066.0,37,Oeganda,31,0.6,People & Blogs,35
